customer_id,loan_id,term,disbursed_date,paid_date,recurrence_1,paid_any_loan_last,installment_number,repaid_date,first_loan_3_or_more_terms
61901i788x1x2446hh903z3y,loan_0037113,8,2021-11-13,2022-03-14,1,0,8,2022-03-14,0
61901i788x1x2446hh903z3y,loan_0037113,8,2021-11-13,2022-03-14,1,0,1,2021-11-29,0
61901i788x1x2446hh903z3y,loan_0037113,8,2021-11-13,2022-03-14,1,0,7,2022-02-27,0
61901i788x1x2446hh903z3y,loan_0037113,8,2021-11-13,2022-03-14,1,0,2,2021-12-14,0
61901i788x1x2446hh903z3y,loan_0037113,8,2021-11-13,2022-03-14,1,0,6,2022-02-15,0
61901i788x1x2446hh903z3y,loan_0037113,8,2021-11-13,2022-03-14,1,0,5,2022-01-30,0
61901i788x1x2446hh903z3y,loan_0037113,8,2021-11-13,2022-03-14,1,0,3,2021-12-30,0
61901i788x1x2446hh903z3y,loan_0037113,8,2021-11-13,2022-03-14,1,0,4,2022-01-14,0
618z957761h98y0xz57ggz88,loan_0050696,1,2021-11-13,2021-11-30,4,1,1,2021-11-30,0
61637i9ghx5x89ixig4y54x2,loan_0083925,12,2021-11-13,,2,0,7,,0
61637i9ghx5x89ixig4y54x2,loan_0083925,12,2021-11-13,,2,0,9,,0
61637i9ghx5x89ixig4y54x2,loan_0083925,12,2021-11-13,,2,0,12,,0
61637i9ghx5x89ixig4y54x2,loan_0083925,12,2021-11-13,,2,0,5,,0
61637i9ghx5x89ixig4y54x2,loan_0083925,12,2021-11-13,,2,0,1,2021-11-29,0
61637i9ghx5x89ixig4y54x2,loan_0083925,12,2021-11-13,,2,0,4,,0
61637i9ghx5x89ixig4y54x2,loan_0083925,12,2021-11-13,,2,0,2,2021-12-15,0
61637i9ghx5x89ixig4y54x2,loan_0083925,12,2021-11-13,,2,0,3,2021-12-31,0
61637i9ghx5x89ixig4y54x2,loan_0083925,12,2021-11-13,,2,0,8,,0
61637i9ghx5x89ixig4y54x2,loan_0083925,12,2021-11-13,,2,0,6,,0
61637i9ghx5x89ixig4y54x2,loan_0083925,12,2021-11-13,,2,0,11,,0
61637i9ghx5x89ixig4y54x2,loan_0083925,12,2021-11-13,,2,0,10,,0
618zzx78g1x7i96hzxh8778z,loan_0121965,8,2021-11-13,2022-03-15,1,0,5,2022-01-30,0
618zzx78g1x7i96hzxh8778z,loan_0121965,8,2021-11-13,2022-03-15,1,0,4,2022-01-18,0
618zzx78g1x7i96hzxh8778z,loan_0121965,8,2021-11-13,2022-03-15,1,0,3,2021-12-28,0
618zzx78g1x7i96hzxh8778z,loan_0121965,8,2021-11-13,2022-03-15,1,0,8,2022-03-15,0
618zzx78g1x7i96hzxh8778z,loan_0121965,8,2021-11-13,2022-03-15,1,0,2,2021-12-15,0
618zzx78g1x7i96hzxh8778z,loan_0121965,8,2021-11-13,2022-03-15,1,0,7,2022-03-01,0
618zzx78g1x7i96hzxh8778z,loan_0121965,8,2021-11-13,2022-03-15,1,0,6,2022-02-15,0
618zzx78g1x7i96hzxh8778z,loan_0121965,8,2021-11-13,2022-03-15,1,0,1,2021-11-30,0
618ix78i1ihy033hg6764g8y,loan_0172321,8,2021-11-13,,1,0,4,,0
618ix78i1ihy033hg6764g8y,loan_0172321,8,2021-11-13,,1,0,8,,0
618ix78i1ihy033hg6764g8y,loan_0172321,8,2021-11-13,,1,0,1,,0
618ix78i1ihy033hg6764g8y,loan_0172321,8,2021-11-13,,1,0,2,,0
618ix78i1ihy033hg6764g8y,loan_0172321,8,2021-11-13,,1,0,6,,0
618ix78i1ihy033hg6764g8y,loan_0172321,8,2021-11-13,,1,0,5,,0
618ix78i1ihy033hg6764g8y,loan_0172321,8,2021-11-13,,1,0,7,,0
618ix78i1ihy033hg6764g8y,loan_0172321,8,2021-11-13,,1,0,3,,0
5h5yg61144x175x97x8i8h8x,loan_0345873,8,2021-11-13,2022-03-16,1,0,7,2022-02-28,0
5h5yg61144x175x97x8i8h8x,loan_0345873,8,2021-11-13,2022-03-16,1,0,1,2021-11-23,0
5h5yg61144x175x97x8i8h8x,loan_0345873,8,2021-11-13,2022-03-16,1,0,5,2022-01-31,0
5h5yg61144x175x97x8i8h8x,loan_0345873,8,2021-11-13,2022-03-16,1,0,4,2022-01-17,0
5h5yg61144x175x97x8i8h8x,loan_0345873,8,2021-11-13,2022-03-16,1,0,2,2021-12-13,0
5h5yg61144x175x97x8i8h8x,loan_0345873,8,2021-11-13,2022-03-16,1,0,6,2022-02-16,0
5h5yg61144x175x97x8i8h8x,loan_0345873,8,2021-11-13,2022-03-16,1,0,8,2022-03-16,0
5h5yg61144x175x97x8i8h8x,loan_0345873,8,2021-11-13,2022-03-16,1,0,3,2021-12-31,0
61409yy65g9x6430y403x048,loan_0373081,8,2021-11-13,2022-02-27,1,0,8,,0
61409yy65g9x6430y403x048,loan_0373081,8,2021-11-13,2022-02-27,1,0,6,2022-02-14,0
61409yy65g9x6430y403x048,loan_0373081,8,2021-11-13,2022-02-27,1,0,3,2021-12-29,0
61409yy65g9x6430y403x048,loan_0373081,8,2021-11-13,2022-02-27,1,0,4,2022-01-14,0
61409yy65g9x6430y403x048,loan_0373081,8,2021-11-13,2022-02-27,1,0,2,2021-12-02,0
61409yy65g9x6430y403x048,loan_0373081,8,2021-11-13,2022-02-27,1,0,5,2022-01-28,0
61409yy65g9x6430y403x048,loan_0373081,8,2021-11-13,2022-02-27,1,0,7,2022-02-26,0
61409yy65g9x6430y403x048,loan_0373081,8,2021-11-13,2022-02-27,1,0,1,2021-11-23,0
618g395izy428119iz62z3y0,loan_0733917,6,2021-11-13,2022-01-26,3,1,2,2021-12-10,0
618g395izy428119iz62z3y0,loan_0733917,6,2021-11-13,2022-01-26,3,1,5,2022-01-26,0
618g395izy428119iz62z3y0,loan_0733917,6,2021-11-13,2022-01-26,3,1,4,2022-01-11,0
618g395izy428119iz62z3y0,loan_0733917,6,2021-11-13,2022-01-26,3,1,1,2021-11-26,0
618g395izy428119iz62z3y0,loan_0733917,6,2021-11-13,2022-01-26,3,1,6,,0
618g395izy428119iz62z3y0,loan_0733917,6,2021-11-13,2022-01-26,3,1,3,2021-12-20,0
618i4zx7h5716z6708xi68iy,loan_0743969,8,2021-11-13,2022-03-15,1,0,5,2022-01-28,0
618i4zx7h5716z6708xi68iy,loan_0743969,8,2021-11-13,2022-03-15,1,0,4,2022-01-15,0
618i4zx7h5716z6708xi68iy,loan_0743969,8,2021-11-13,2022-03-15,1,0,8,2022-03-15,0
618i4zx7h5716z6708xi68iy,loan_0743969,8,2021-11-13,2022-03-15,1,0,1,2021-11-29,0
618i4zx7h5716z6708xi68iy,loan_0743969,8,2021-11-13,2022-03-15,1,0,2,2021-12-15,0
618i4zx7h5716z6708xi68iy,loan_0743969,8,2021-11-13,2022-03-15,1,0,6,2022-02-14,0
618i4zx7h5716z6708xi68iy,loan_0743969,8,2021-11-13,2022-03-15,1,0,7,2022-02-28,0
618i4zx7h5716z6708xi68iy,loan_0743969,8,2021-11-13,2022-03-15,1,0,3,2021-12-29,0
619060ih367504hgg64h2912,loan_0748387,6,2021-11-13,2022-02-15,2,0,2,2021-12-15,0
619060ih367504hgg64h2912,loan_0748387,6,2021-11-13,2022-02-15,2,0,3,2021-12-30,0
619060ih367504hgg64h2912,loan_0748387,6,2021-11-13,2022-02-15,2,0,6,2022-02-15,0
619060ih367504hgg64h2912,loan_0748387,6,2021-11-13,2022-02-15,2,0,5,2022-01-31,0
619060ih367504hgg64h2912,loan_0748387,6,2021-11-13,2022-02-15,2,0,1,2021-11-13,0
619060ih367504hgg64h2912,loan_0748387,6,2021-11-13,2022-02-15,2,0,4,2022-01-15,0
618ii6030z7z188995y231xz,loan_1026601,1,2021-11-13,2021-11-26,1,0,1,2021-11-26,0
6160957404z2374691y9z4h8,loan_1114710,8,2021-11-13,2021-11-23,1,0,8,,0
6160957404z2374691y9z4h8,loan_1114710,8,2021-11-13,2021-11-23,1,0,6,,0
